emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN)
KRUK,KRU0625,GPW ASO,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,1,10,"101,5000","102,5000",20,1,-,-,-
KRUK,KRU0626,GPW RR,1,"95,1000",-,-,-,2024-12-19,-,"95,1000",-,1,100,"95,8600","96,2200",50,2,-,-,-
KRUK,KRU0627,GPW ASO,1,"102,5000","102,6000",-,-,2024-12-20,-,"102,7000",-,2,47,"102,6000","104,0000",50,1,3,37,"37,98"
KRUK,KRU0628,GPW RR,1,"103,3600","104,0000",-,-,2024-12-20,-,"104,0000",-,1,4970,"104,0000","104,4000",157,1,1,30,"3,13"
KRUK,KRU0726,GPW RR,1,"95,5100","95,5100",-,-,2024-12-20,-,"95,9900",-,1,100,"95,2100","95,9900",90,1,4,3271,"314,61"
KRUK,KRU0827,GPW RR,1,"102,5000",-,-,-,2024-12-18,-,"102,5000",-,1,79,"102,0100","103,2700",146,1,-,-,-
KRUK,KRU0828,GPW RR,1,"104,4000","103,3100",-,-,2024-12-20,-,"103,3200",-,1,95,"103,3500","104,5900",99,1,4,400,"41,87"
KRUK,KRU0925,GPW RR,1,"98,8700","98,5000",-,-,2024-12-20,-,"98,1200",-,1,43,"98,1200","98,8700",101,1,3,163,"16,02"
KRUK,KRU1028,GPW RR,1,"104,3500","104,4200",-,-,2024-12-20,-,"105,9400",-,1,3,"104,4200","105,8900",42,1,2,62,"6,71"
KRUK,KRU1029,GPW ASO,1,"107,4000",-,-,-,2024-12-06,-,"107,4000",-,1,2,"106,5000","109,4000",11,1,-,-,-
KRUK,KRU1127,GPW RR,1,"103,9400","103,9400",-,-,2024-12-20,-,"103,9400",-,1,21,"103,2400","103,9400",316,1,2,2010,"210,55"
